"rank","candidate_id","score","reasoning"
"1","CAND_0071974","0.889264","Senior AI Engineer @ Netflix (4yr); built recommendation system; open to work; response rate >76%"
"2","CAND_0005649","0.881089","Senior Data Scientist @ Sarvam AI (1yr); shipped FAISS to production; open to work"
"3","CAND_0002025","0.877933","Senior AI Engineer @ Apple (3yr); built recommendation system; open to work; response rate >80%"
"4","CAND_0018499","0.876690","Senior Machine Learning Engineer @ Zomato (2yr); shipped FAISS to production; open to work"
"5","CAND_0069905","0.868516","Applied ML Engineer @ Sarvam AI (2yr); shipped FAISS to production; open to work; response rate >78%"
"6","CAND_0052682","0.865763","NLP Engineer @ Aganitha (3yr); built recommendation system; open to work; response rate >88%"
"7","CAND_0079387","0.854310","AI Engineer @ Microsoft (1yr); shipped FAISS to production; open to work; response rate >81%"
"8","CAND_0050454","0.853440","AI Engineer @ Rephrase.ai (2yr); shipped FAISS to production; open to work; response rate >77%"
"9","CAND_0062247","0.852575","AI Engineer @ Google (3yr); shipped FAISS to production; open to work; response rate >78%"
"10","CAND_0029367","0.851237","Senior Data Scientist @ Rephrase.ai (3yr); shipped FAISS to production; open to work; response rate >77%"
"11","CAND_0064326","0.851053","Search Engineer @ Sarvam AI (2yr); fine-tuned LLM; open to work; response rate >94%"
"12","CAND_0010685","0.850374","NLP Engineer @ Rephrase.ai (1yr); shipped FAISS to production; open to work; response rate >83%"
"13","CAND_0011687","0.850104","Senior NLP Engineer @ Niramai (4yr); built recommendation system; open to work; response rate >89%"
"14","CAND_0076163","0.848261","NLP Engineer @ Ola (3yr); built search system; open to work; response rate >84%"
"15","CAND_0037566","0.845616","Machine Learning Engineer @ LinkedIn (4yr); fine-tuned LLM; open to work"
"16","CAND_0074735","0.843224","Applied ML Engineer @ Rephrase.ai (2yr); fine-tuned LLM; open to work; response rate >77%"
"17","CAND_0098846","0.841371","AI Engineer @ upGrad (2yr); fine-tuned LLM; open to work"
"18","CAND_0075249","0.835590","Applied ML Engineer @ Zomato (3yr); shipped FAISS to production; open to work; response rate >82%"
"19","CAND_0059017","0.831560","AI Research Engineer @ PhonePe (3yr); fine-tuned LLM; open to work; response rate >75%"
"20","CAND_0077337","0.829714","Staff Machine Learning Engineer @ Paytm (1yr); built recommendation system; open to work; response rate >95%"
"21","CAND_0039383","0.827383","Applied ML Engineer @ Meesho (2yr); shipped FAISS to production; open to work"
"22","CAND_0082086","0.826969","Senior Software Engineer (ML) @ Razorpay (2yr); fine-tuned LLM; open to work; response rate >85%"
"23","CAND_0050876","0.826611","Applied ML Engineer @ Freshworks (3yr); built recommendation system; open to work"
"24","CAND_0043860","0.826467","Junior ML Engineer @ Aganitha (4yr); built recommendation system; open to work; response rate >81%"
"25","CAND_0008295","0.825585","AI Research Engineer @ Razorpay (4yr); fine-tuned LLM; open to work; response rate >89%"
"26","CAND_0053591","0.825527","AI Engineer @ Ola (3yr); fine-tuned LLM; open to work; response rate >81%"
"27","CAND_0054100","0.825185","Junior ML Engineer @ Zoho (2yr); fine-tuned LLM; open to work; response rate >79%"
"28","CAND_0081846","0.821924","Lead AI Engineer @ Razorpay (2yr); shipped FAISS to production; open to work; response rate >73%"
"29","CAND_0078002","0.819566","Machine Learning Engineer @ Meta (2yr); built recommendation system; open to work; response rate >86%"
"30","CAND_0055905","0.819275","Senior Machine Learning Engineer @ Flipkart (1yr); shipped FAISS to production; open to work; response rate >87%"
"31","CAND_0006538","0.816664","AI Specialist @ Dream11 (2yr); built recommendation system; open to work; response rate >86%"
"32","CAND_0033179","0.814849","AI Research Engineer @ Wipro (3yr); built recommendation system; open to work; response rate >84%"
"33","CAND_0073007","0.814517","AI Specialist @ Aganitha (4yr); built recommendation system; open to work; response rate >83%"
"34","CAND_0067866","0.813425","Senior Software Engineer (ML) @ Tech Mahindra (3yr); built recommendation system; open to work; response rate >79%"
"35","CAND_0081852","0.813351","Senior Data Scientist @ Mad Street Den (4yr); fine-tuned LLM; open to work"
"36","CAND_0068811","0.813294","Applied ML Engineer @ Freshworks (1yr); built recommendation system; open to work"
"37","CAND_0044222","0.813064","AI Engineer @ PolicyBazaar (4yr); shipped FAISS to production; open to work"
"38","CAND_0053527","0.812976","Junior ML Engineer @ PhonePe (4yr); built recommendation system; open to work; response rate >81%"
"39","CAND_0046064","0.811872","Senior NLP Engineer @ Salesforce (3yr); shipped FAISS to production; open to work; response rate >78%"
"40","CAND_0081053","0.811073","NLP Engineer @ Glance (1yr); built recommendation system; open to work; response rate >83%"
"41","CAND_0068932","0.810476","ML Engineer @ Krutrim (3yr); built recommendation system; open to work; response rate >82%"
"42","CAND_0041669","0.810110","Recommendation Systems Engineer @ CRED (3yr); built recommendation system; open to work; response rate >77%"
"43","CAND_0001218","0.809670","AI Specialist @ Nykaa (1yr); built recommendation system; open to work; response rate >82%"
"44","CAND_0018722","0.809196","Recommendation Systems Engineer @ Saarthi.ai (2yr); shipped FAISS to production; open to work; response rate >79%"
"45","CAND_0006567","0.808512","Senior AI Engineer @ Meta (2yr); built search system; open to work; response rate >79%"
"46","CAND_0083879","0.807440","Machine Learning Engineer @ Ola (1yr); shipped to production; open to work"
"47","CAND_0090155","0.807376","ML Engineer @ Swiggy (1yr); fine-tuned LLM; open to work"
"48","CAND_0096104","0.807310","AI Specialist @ Yellow.ai (3yr); built recommendation system; open to work"
"49","CAND_0018925","0.807068","AI Research Engineer @ Rephrase.ai (3yr); built recommendation system; open to work"
"50","CAND_0091909","0.806017","Machine Learning Engineer @ Rephrase.ai (4yr); built recommendation system; open to work"
"51","CAND_0004402","0.805487","AI Research Engineer @ Yellow.ai (2yr); built recommendation system; open to work; response rate >83%"
"52","CAND_0052328","0.805103","Recommendation Systems Engineer @ Amazon (4yr); fine-tuned LLM; open to work; response rate >79%"
"53","CAND_0058575","0.804296","AI Engineer @ Krutrim (2yr); shipped FAISS to production; open to work"
"54","CAND_0094165","0.802354","AI Research Engineer @ PhonePe (2yr); shipped to production; open to work; response rate >78%"
"55","CAND_0006418","0.802119","Machine Learning Engineer @ Verloop.io (3yr); shipped to production; open to work; response rate >92%"
"56","CAND_0005311","0.801659","AI Research Engineer @ Aganitha (3yr); fine-tuned LLM; open to work; low response rate (28%)"
"57","CAND_0066376","0.799900","Applied ML Engineer @ Dream11 (3yr); shipped FAISS to production; open to work"
"58","CAND_0054546","0.799462","AI Research Engineer @ Razorpay (4yr); fine-tuned LLM; open to work; response rate >92%"
"59","CAND_0060835","0.799236","Senior Software Engineer (ML) @ Sarvam AI (4yr); built recommendation system; open to work"
"60","CAND_0044262","0.798822","Data Scientist @ upGrad (1yr); built recommendation system; open to work; response rate >73%"
"61","CAND_0024147","0.798821","ML Engineer @ Ola (3yr); built recommendation system; open to work; response rate >84%"
"62","CAND_0040887","0.797805","Machine Learning Engineer @ Netflix (3yr); shipped FAISS to production; open to work; response rate >84%"
"63","CAND_0013613","0.796380","Machine Learning Engineer @ Adobe (1yr); shipped FAISS to production; open to work; response rate >73%"
"64","CAND_0065878","0.794332","Senior Data Scientist @ Niramai (2yr); built recommendation system; open to work"
"65","CAND_0091580","0.792482","Data Scientist @ Niramai (1yr); built recommendation system; open to work; low response rate (25%)"
"66","CAND_0017960","0.792066","Recommendation Systems Engineer @ Nykaa (4yr); fine-tuned LLM; open to work; response rate >72%"
"67","CAND_0033987","0.791781","ML Engineer @ Wysa (3yr); built recommendation system; open to work; response rate >71%"
"68","CAND_0042100","0.791726","Machine Learning Engineer @ Freshworks (4yr); built search system; open to work; response rate >87%"
"69","CAND_0064904","0.791499","AI Engineer @ LinkedIn (2yr); built recommendation system; open to work; response rate >78%"
"70","CAND_0049978","0.789814","Senior Software Engineer (ML) @ Sarvam AI (4yr); built recommendation system; open to work; response rate >71%"
"71","CAND_0054829","0.789730","Computer Vision Engineer @ BYJU'S (1yr); built recommendation system; open to work; response rate >75%"
"72","CAND_0008425","0.789316","Senior NLP Engineer @ Ola (2yr); built recommendation system; open to work"
"73","CAND_0014440","0.784646","Recommendation Systems Engineer @ CRED (2yr); shipped to production; open to work"
"74","CAND_0091229","0.784282","Senior Software Engineer (ML) @ Niramai (1yr); shipped to production; open to work"
"75","CAND_0099806","0.783639","AI Engineer @ Mad Street Den (2yr); relevant career experience; open to work; response rate >76%"
"76","CAND_0086022","0.783338","Senior Applied Scientist @ Sarvam AI (2yr); shipped FAISS to production; open to work"
"77","CAND_0093912","0.782547","Senior Data Scientist @ Razorpay (2yr); shipped FAISS to production; open to work"
"78","CAND_0052335","0.781875","Applied ML Engineer @ Aganitha (3yr); fine-tuned LLM; open to work; response rate >79%"
"79","CAND_0000031","0.781496","Recommendation Systems Engineer @ Swiggy (1yr); built search system; open to work; response rate >91%"
"80","CAND_0025882","0.780342","Senior Software Engineer (ML) @ Freshworks (1yr); built recommendation system; open to work; response rate >79%"
"81","CAND_0018013","0.779779","AI Specialist @ Sarvam AI (4yr); built recommendation system; open to work; response rate >78%"
"82","CAND_0064256","0.779164","Junior ML Engineer @ BYJU'S (3yr); fine-tuned LLM; open to work; response rate >86%"
"83","CAND_0070525","0.778523","Senior Software Engineer (ML) @ Mad Street Den (2yr); built recommendation system; open to work; response rate >93%"
"84","CAND_0030348","0.777361","Machine Learning Engineer @ BYJU'S (2yr); shipped FAISS to production; open to work"
"85","CAND_0098454","0.775361","AI Specialist @ Meesho (4yr); fine-tuned LLM; open to work; response rate >87%"
"86","CAND_0094292","0.773782","AI Specialist @ Vedantu (1yr); fine-tuned LLM; open to work"
"87","CAND_0076251","0.772672","Search Engineer @ Haptik (2yr); shipped FAISS to production; open to work"
"88","CAND_0077261","0.771337","AI Specialist @ Meesho (3yr); fine-tuned LLM; open to work; response rate >81%"
"89","CAND_0065195","0.770972","Search Engineer @ CRED (4yr); fine-tuned LLM; open to work; response rate >80%"
"90","CAND_0011432","0.769716","Senior Data Scientist @ Amazon (2yr); fine-tuned LLM; open to work"
"91","CAND_0049615","0.768009","ML Engineer @ Krutrim (2yr); built recommendation system; open to work; low response rate (28%)"
"92","CAND_0018549","0.765105","Recommendation Systems Engineer @ Uber (3yr); built recommendation system; open to work; response rate >73%"
"93","CAND_0074123","0.764820","Data Scientist @ CRED (2yr); built recommendation system; open to work"
"94","CAND_0001707","0.763842","Data Scientist @ Vedantu (2yr); fine-tuned LLM; open to work"
"95","CAND_0041610","0.763784","Recommendation Systems Engineer @ Zoho (2yr); fine-tuned LLM; open to work"
"96","CAND_0013988","0.761821","Junior ML Engineer @ Ola (1yr); built recommendation system; open to work; low response rate (28%)"
"97","CAND_0045862","0.760853","AI Specialist @ Yellow.ai (1yr); built recommendation system; open to work"
"98","CAND_0044883","0.760478","AI Engineer @ Mad Street Den (1yr); shipped FAISS to production; response rate >84%"
"99","CAND_0020845","0.760200","AI Research Engineer @ Swiggy (3yr); fine-tuned LLM; open to work"
"100","CAND_0094482","0.759680","Junior ML Engineer @ TCS (2yr); fine-tuned LLM; open to work; response rate >85%"
