candidate_id,rank,score,reasoning
CAND_0002025,1,55.05061061475816,"Profile text aligns 56% with the JD. Matches 5/11 required skills: sentence-transformers, faiss, pinecone, weaviate. 5.9 yrs as Senior AI Engineer at Apple. Active & open to work. Notice: 30d (×1.00)."
CAND_0018499,2,53.41156168685073,"Profile text aligns 55% with the JD. Matches 4/11 required skills: embeddings, pinecone, weaviate, milvus. 7.2 yrs as Senior Machine Learning Engineer at Zomato. Active & open to work. Notice: 15d (×1.00)."
CAND_0086022,3,51.90663807077311,"Profile text aligns 56% with the JD. Matches 3/11 required skills: embeddings, sentence-transformers, pinecone. 5.3 yrs as Senior Applied Scientist at Sarvam AI. Active & open to work. Notice: 30d (×1.00)."
CAND_0046064,4,51.69485615766211,"Profile text aligns 59% with the JD. Matches 2/11 required skills: pinecone, python. 8.9 yrs as Senior NLP Engineer at Salesforce. Active & open to work. Notice: 30d (×1.00)."
CAND_0011687,5,50.46541323749668,"Profile text aligns 54% with the JD. Matches 3/11 required skills: embeddings, faiss, weaviate. 7.8 yrs as Senior NLP Engineer at Niramai. Active & open to work. Notice: 15d (×1.00)."
CAND_0027691,6,50.413749999790845,"Profile text aligns 49% with the JD. Matches 3/11 required skills: embeddings, weaviate, python. 6.5 yrs as NLP Engineer at Haptik. Active & open to work. Notice: 15d (×1.00)."
CAND_0037944,7,49.083255228013485,"Profile text aligns 44% with the JD. Matches 3/11 required skills: embeddings, sentence-transformers, python. 4.9 yrs as Senior Data Scientist at Vedantu. Active & open to work. Notice: 30d (×1.00). Concerns: HIGH: 4.9 yrs is 0.1 yrs below 5-yr floor → -1.5 pt YoE penalty."
CAND_0052682,8,48.65789571609466,"Profile text aligns 42% with the JD. Matches 3/11 required skills: embeddings, faiss, python. 6.6 yrs as NLP Engineer at Aganitha. Active & open to work. Notice: 30d (×1.00)."
CAND_0066999,9,47.79311040039024,"Profile text aligns 42% with the JD. Matches 3/11 required skills: embeddings, faiss, pinecone. 5.9 yrs as Recommendation Systems Engineer at Microsoft. Active & open to work. Notice: 15d (×1.00)."
CAND_0079387,10,47.75553021131705,"Profile text aligns 45% with the JD. Matches 2/11 required skills: sentence-transformers, python. 6.9 yrs as AI Engineer at Microsoft. Active & open to work. Notice: 30d (×1.00)."
CAND_0005311,11,47.34871610215967,Profile text aligns 49% with the JD. Matches 1/11 required skills: qdrant. 5.7 yrs as AI Research Engineer at Aganitha. Active & open to work. Notice: 30d (×1.00).
CAND_0062561,12,47.26931957314666,Profile text aligns 50% with the JD. Matches 1/11 required skills: weaviate. 5.9 yrs as ML Engineer at Razorpay. Active & open to work. Notice: 30d (×1.00).
CAND_0093912,13,46.923314380095235,"Profile text aligns 47% with the JD. Matches 2/11 required skills: embeddings, milvus. 5.3 yrs as Senior Data Scientist at Razorpay. Active & open to work. Notice: 30d (×1.00)."
CAND_0052328,14,46.83375456195245,"Profile text aligns 43% with the JD. Matches 2/11 required skills: sentence-transformers, python. 6.5 yrs as Recommendation Systems Engineer at Amazon. Active & open to work. Notice: 30d (×1.00)."
CAND_0037566,15,46.76371649217141,Profile text aligns 46% with the JD. Matches 1/11 required skills: pinecone. 6.9 yrs as Machine Learning Engineer at LinkedIn. Active & open to work. Notice: 15d (×1.00).
CAND_0099806,16,46.47416116702561,"Profile text aligns 45% with the JD. Matches 5/11 required skills: embeddings, sentence-transformers, faiss, qdrant. 4.6 yrs as AI Engineer at Mad Street Den. Active & open to work. Notice: 30d (×1.00). Concerns: HIGH: 4.6 yrs is 0.4 yrs below 5-yr floor → -6.0 pt YoE penalty; low offer acceptance rate."
CAND_0062247,17,46.27030410118984,"Profile text aligns 46% with the JD. Matches 2/11 required skills: pinecone, qdrant. 7.3 yrs as AI Engineer at Google. Active & open to work. Notice: 30d (×1.00)."
CAND_0007009,18,46.11487982884513,"Profile text aligns 43% with the JD. Matches 4/11 required skills: embeddings, sentence-transformers, weaviate, python. 7.9 yrs as Recommendation Systems Engineer at Wysa. Active & open to work. Notice: 30d (×1.00)."
CAND_0081846,19,46.061591907982404,"Profile text aligns 57% with the JD. Matches 3/11 required skills: embeddings, qdrant, python. 6.7 yrs as Lead AI Engineer at Razorpay. Active & open to work. Notice: 30d (×1.00)."
CAND_0071974,20,45.24933652662756,"Profile text aligns 57% with the JD. Matches 5/11 required skills: embeddings, sentence-transformers, pinecone, qdrant. 7.8 yrs as Senior AI Engineer at Netflix. Active & open to work. Notice: 45d (×0.80). Concerns: MODERATE: 45-day notice → 0.80× multiplier."
